,x.max,y.max,z.max
Middle Cingulate Cortex,-8,10,32
Anterior Cingulate Cortex,-2,22,28
Supplemetary Motor Area,2,-4,48
Subgenual cingulate cortex,-4,34,10
Anterior Cingulate Cortex,-4,34,15
Putamen,-28,4,6
Insula,-32,8,8
Putamen,-28,-12,2
Superior Temporal Gyrus,-46,0,-12
Insula,-36,-4,8
Superior Temporal Pole,-30,10,-22
Pallidum,-24,-8,-2
Parahippocampal Gyrus,-20,4,-22
Middle Temporal Pole,-24,4,-36
Middle Temporal Gyrus,-46,-14,-12
Fusiform Gyrus,-36,-14,-26
Inferior Temporal Gyrus,-40,-12,-30
Amygdala,-22,4,-22
Putamen,32,8,-6
Insula,38,12,-12
Parahippocampal Gyrus,20,12,-26
Fusiform Gyrus,28,-4,-38
Middle Temporal Pole,24,4,-36
Superior Temporal Pole,26,10,-26
Hippocampus,24,-2,-22
Amygdala,24,0,-22
